precinct_id,registered_voters,contest_name,total_votes_cast,Malcolm Kenyatta - Election Day,Malcolm Kenyatta - Absentee,Malcolm Kenyatta - Provisional,Tim DeFoor - Election Day,Tim DeFoor - Absentee,Tim DeFoor - Provisional,Reece Smith - Election Day,Reece Smith - Absentee,Reece Smith - Provisional,Bob Goodrich - Election Day,Bob Goodrich - Absentee,Bob Goodrich - Provisional,Eric K. Anton - Election Day,Eric K. Anton - Absentee,Eric K. Anton - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
South Park Dist 4,918,Auditor General,743,227,116,6,273,60,7,10,3,0,3,2,0,1,1,0,1,0,0
South Park Dist 5,747,Auditor General,644,205,78,2,270,42,1,5,0,0,1,0,0,1,1,0,2,0,0
South Park Dist 6,924,Auditor General,734,198,121,2,289,72,1,10,0,0,4,2,0,2,0,0,0,0,0
South Park Dist 7,1100,Auditor General,915,196,206,4,326,120,2,12,2,0,1,1,1,2,0,0,2,0,1
South Park Dist 8,527,Auditor General,470,118,91,1,194,36,1,9,1,0,3,1,0,0,0,0,0,0,0
South Park Dist 9,853,Auditor General,697,151,144,1,246,113,3,7,3,0,2,0,0,2,0,0,0,0,0
South Park Dist 10,897,Auditor General,765,169,124,4,334,79,3,12,0,0,2,0,0,2,0,1,1,0,0
South Park Dist 11,598,Auditor General,465,118,58,2,201,49,2,12,2,1,3,1,0,3,0,0,1,0,0
South Park Dist 12,601,Auditor General,516,118,96,0,222,48,5,6,1,0,2,1,0,0,0,0,0,0,0
South Park Dist 13,1177,Auditor General,1015,202,163,7,399,168,5,17,5,0,4,2,0,1,0,0,0,0,0
S Versailles,222,Auditor General,191,34,21,0,121,8,0,3,0,0,1,0,0,1,0,0,0,0,0
Springdale Br Dist 1,690,Auditor General,535,160,87,7,199,42,1,6,3,0,9,1,0,3,0,0,0,2,0
Springdale Br Dist 2,599,Auditor General,513,131,74,0,229,31,3,10,2,0,6,2,0,0,0,0,0,0,0
Springdale Br Dist 3,577,Auditor General,450,137,55,6,173,31,2,7,3,0,6,3,0,2,0,0,0,0,0
Springdale Br Dist 4,473,Auditor General,368,108,48,2,153,25,3,3,2,0,2,0,0,1,0,0,0,0,0
Springdale Twp,1187,Auditor General,993,211,164,6,418,109,11,10,2,0,4,3,0,2,2,0,1,0,0
Stowe Ward 1,454,Auditor General,268,124,43,3,62,14,3,3,0,0,3,0,0,0,0,0,0,0,0
Stowe Ward 2 Dist 1,188,Auditor General,94,37,11,3,31,6,2,1,0,0,1,0,0,0,0,0,0,0,0
Stowe Ward 2 Dist 2,688,Auditor General,453,162,87,11,120,27,0,11,0,1,6,1,0,3,0,0,0,0,0
Stowe Ward 3,359,Auditor General,221,74,31,3,73,16,2,7,0,0,4,0,0,1,0,0,0,0,0
Stowe Ward 4 Dist 1,330,Auditor General,238,73,46,4,73,23,2,3,0,0,1,1,0,1,0,0,0,0,0
Stowe Ward 4 Dist 2,360,Auditor General,306,64,66,0,113,39,1,3,0,0,1,1,0,2,0,0,2,0,0
Stowe Ward 5,443,Auditor General,259,91,58,2,73,15,2,2,2,0,0,0,0,2,0,0,0,0,0
Stowe Ward 6,478,Auditor General,281,127,57,7,48,10,3,5,1,0,6,0,0,2,0,0,0,1,0
Stowe Ward 7,293,Auditor General,139,71,15,2,30,7,0,5,0,0,4,0,0,0,0,0,1,0,0
Stowe Ward 8,397,Auditor General,169,84,12,0,57,4,1,4,0,0,2,0,0,1,1,0,0,0,0
Stowe Ward 9,299,Auditor General,138,64,26,3,26,7,1,4,0,0,0,0,0,2,1,0,0,0,0
Swissvale Dist 1,849,Auditor General,526,255,142,11,63,17,1,8,1,0,5,0,0,1,1,0,0,0,0
Swissvale Dist 2,744,Auditor General,488,273,112,7,38,19,1,6,2,0,2,1,0,3,0,0,0,0,0
Swissvale Dist 3,687,Auditor General,461,248,138,5,34,12,0,5,1,0,5,0,0,2,0,0,0,1,0
Swissvale Dist 4,619,Auditor General,446,211,120,8,54,20,3,8,1,0,3,0,1,1,0,0,1,0,0
Swissvale Dist 5,736,Auditor General,567,264,169,4,67,30,1,4,3,0,2,1,0,1,1,0,0,0,0
Swissvale Dist 6,404,Auditor General,242,145,51,5,19,3,0,2,0,0,2,1,1,1,0,2,0,0,0
Swissvale Dist 7,675,Auditor General,527,244,148,9,69,23,1,3,1,1,1,1,0,3,1,0,0,0,0
Swissvale Dist 8,710,Auditor General,514,265,125,1,56,26,1,4,4,0,3,1,0,1,2,0,3,0,0
Swissvale Dist 9,670,Auditor General,497,265,124,5,48,11,3,11,2,0,3,1,1,4,0,0,1,0,0
Swissvale Dist 10,240,Auditor General,146,99,26,2,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0
