precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
McCandless Ward 7 Dist 1,1625,Presidential Electors,1334,330,368,5,406,203,2,2,3,0,4,0,0,6,5,0
McCandless Ward 7 Dist 2,1044,Presidential Electors,900,232,265,3,281,99,3,0,4,0,3,2,0,6,1,0
McCandless Ward 7 Dist 3,535,Presidential Electors,466,132,115,0,143,64,0,0,1,0,3,3,0,3,1,0
McDonald,240,Presidential Electors,184,32,16,0,119,14,0,1,0,0,1,0,0,0,0,0
McKeesport Ward 1,13,Presidential Electors,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0
McKeesport Ward 2,217,Presidential Electors,74,33,18,2,16,3,0,1,0,0,0,0,0,0,0,0
McKeesport Ward 3 Dist 1,299,Presidential Electors,152,91,26,2,10,17,0,1,2,0,0,0,0,0,0,0
McKeesport Ward 3 Dist 2,105,Presidential Electors,57,36,17,1,2,1,0,0,0,0,0,0,0,0,0,0
McKeesport Ward 4,317,Presidential Electors,113,69,25,2,11,1,1,1,0,0,0,2,0,0,0,1
McKeesport Ward 5,480,Presidential Electors,204,121,38,8,23,9,1,1,1,0,0,0,0,0,0,0
McKeesport Ward 6 Dist 1,327,Presidential Electors,151,71,32,7,30,9,1,1,0,0,0,0,0,0,0,0
McKeesport Ward 6 Dist 2,287,Presidential Electors,144,81,23,4,28,5,0,1,0,0,0,1,0,0,0,0
McKeesport Ward 7 Dist 1,462,Presidential Electors,264,159,58,4,27,14,0,0,0,0,1,0,0,1,0,0
McKeesport Ward 7 Dist 2,270,Presidential Electors,156,98,38,6,7,2,2,1,0,0,1,0,0,0,0,0
McKeesport Ward 7 Dist 3,311,Presidential Electors,173,103,20,4,38,7,1,0,0,0,0,0,0,0,0,0
McKeesport Ward 7 Dist 4,403,Presidential Electors,204,109,28,9,37,13,2,2,0,0,1,1,0,0,0,1
McKeesport Ward 7 Dist 5,535,Presidential Electors,305,153,49,12,68,16,1,0,1,0,3,0,0,2,0,0
McKeesport Ward 7 Dist 6,425,Presidential Electors,242,141,34,9,51,5,0,0,0,0,0,0,0,1,0,0
McKeesport Ward 7 Dist 7,327,Presidential Electors,181,102,44,12,20,3,0,0,0,0,0,0,0,0,0,0
McKeesport Ward 8 Dist 1,267,Presidential Electors,172,48,24,4,83,7,3,1,0,0,0,0,0,1,0,0
McKeesport Ward 8 Dist 2,531,Presidential Electors,350,139,82,2,96,22,3,0,0,0,4,1,0,0,1,0
McKeesport Ward 8 Dist 3,498,Presidential Electors,285,160,47,14,46,8,2,0,0,0,0,0,0,2,0,0
McKeesport Ward 8 Dist 4,462,Presidential Electors,324,114,48,4,109,39,5,1,0,0,1,0,0,0,2,0
McKeesport Ward 8 Dist 5,511,Presidential Electors,186,112,40,8,19,3,0,1,0,0,1,0,0,0,0,1
McKeesport Ward 8 Dist 6,202,Presidential Electors,135,40,24,1,55,12,1,1,0,0,0,0,0,1,0,0
McKeesport Ward 9 Dist 1,475,Presidential Electors,312,119,48,6,110,22,2,1,1,0,0,0,0,2,0,0
McKeesport Ward 9 Dist 2,572,Presidential Electors,372,180,43,10,119,12,3,0,1,0,2,0,0,0,1,0
McKeesport Ward 9 Dist 3,387,Presidential Electors,254,96,51,7,72,24,1,1,0,0,0,1,0,0,0,0
McKeesport Ward 10 Dist 1,277,Presidential Electors,149,61,22,3,55,4,1,1,0,0,0,0,0,1,0,0
McKeesport Ward 10 Dist 2,312,Presidential Electors,206,65,43,2,77,14,0,0,0,0,3,0,0,0,1,0
McKeesport Ward 11 Dist 1,428,Presidential Electors,288,113,35,3,109,22,2,0,0,0,0,0,0,0,0,0
McKeesport Ward 11 Dist 2,377,Presidential Electors,267,86,32,5,117,24,1,0,0,0,2,0,0,0,0,0
McKeesport Ward 11 Dist 3,264,Presidential Electors,184,70,55,1,42,11,3,0,0,0,0,0,0,2,0,0
McKeesport Ward 12 Dist 1,334,Presidential Electors,238,55,43,4,112,19,0,3,0,0,1,0,0,1,0,0
McKeesport Ward 12 Dist 2,370,Presidential Electors,282,84,36,0,129,30,0,1,0,0,0,0,0,0,1,0
McKeesport Ward 12 Dist 3,556,Presidential Electors,475,132,96,1,202,37,2,1,0,0,1,0,0,2,0,0
McKees Rocks Ward 1 Dist 1,179,Presidential Electors,31,20,6,2,2,1,0,0,0,0,0,0,0,0,0,0
McKees Rocks Ward 1 Dist 2,523,Presidential Electors,281,138,55,10,47,21,1,6,0,0,0,0,0,1,0,0
McKees Rocks Ward 2 Dist 1,659,Presidential Electors,327,155,59,10,90,10,0,0,0,0,1,0,0,0,1,0
McKees Rocks Ward 2 Dist 2,591,Presidential Electors,301,157,36,4,82,15,1,3,2,0,0,0,0,1,0,0
McKees Rocks Ward 3 Dist 1,762,Presidential Electors,494,183,94,17,154,38,5,0,0,0,1,0,0,1,0,0
McKees Rocks Ward 3 Dist 2,534,Presidential Electors,272,110,60,10,77,10,2,0,1,0,0,0,0,0,1,0
McKees Rocks Ward 3 Dist 3,511,Presidential Electors,286,144,44,5,64,21,1,2,0,0,3,0,0,1,0,0
Millvale Dist 1,510,Presidential Electors,357,164,75,2,92,19,1,3,0,0,0,0,0,1,0,0
Millvale Dist 2,463,Presidential Electors,334,126,38,0,146,13,1,7,0,0,0,0,0,1,0,0
Millvale Dist 3,453,Presidential Electors,334,143,79,1,86,15,0,3,3,0,0,0,0,2,0,0
Millvale Dist 4,452,Presidential Electors,325,136,43,3,113,24,1,0,2,0,3,0,0,0,0,0
Millvale Dist 5,521,Presidential Electors,401,163,81,2,118,27,0,2,1,0,1,0,0,3,0,0
Monroeville Ward 1 Dist 1,703,Presidential Electors,540,175,95,0,225,40,2,1,0,0,2,0,0,0,0,0
Monroeville Ward 1 Dist 2,636,Presidential Electors,535,148,118,6,223,31,1,0,1,0,2,0,0,1,0,0
Monroeville Ward 1 Dist 3,802,Presidential Electors,678,236,171,4,186,64,1,5,0,0,3,0,0,4,2,0
Monroeville Ward 1 Dist 4,918,Presidential Electors,608,237,168,10,149,36,1,1,1,0,4,0,0,1,0,0
Monroeville Ward 2 Dist 1,956,Presidential Electors,795,286,159,1,259,66,3,8,2,1,2,0,0,5,1,0
Monroeville Ward 2 Dist 2,979,Presidential Electors,818,285,206,4,230,75,1,7,0,0,6,1,1,1,0,0
Monroeville Ward 2 Dist 3,1094,Presidential Electors,896,282,223,6,289,86,2,0,1,1,2,1,0,1,1,0
Monroeville Ward 3 Dist 1,1192,Presidential Electors,954,219,249,6,327,124,6,3,5,0,5,2,0,3,1,0
Monroeville Ward 3 Dist 2,650,Presidential Electors,537,161,103,2,225,39,4,1,0,0,1,0,0,0,0,0
Monroeville Ward 3 Dist 3,989,Presidential Electors,817,257,196,3,281,62,1,7,3,0,1,0,0,2,1,0
Monroeville Ward 3 Dist 4,448,Presidential Electors,383,123,83,0,125,40,1,2,1,0,3,1,0,1,0,0
Monroeville Ward 4 Dist 1,676,Presidential Electors,570,176,124,1,203,48,0,3,1,1,3,3,0,5,1,0
Monroeville Ward 4 Dist 2,1058,Presidential Electors,845,283,179,9,281,79,3,2,1,0,1,0,0,5,0,0
Monroeville Ward 4 Dist 3,1006,Presidential Electors,847,279,156,6,324,59,2,6,2,0,3,3,1,3,0,0
Monroeville Ward 5 Dist 1,613,Presidential Electors,510,146,88,2,216,43,0,1,3,1,5,0,0,2,0,0
Monroeville Ward 5 Dist 2,891,Presidential Electors,568,207,181,5,125,33,1,9,0,0,3,3,0,0,0,0
Monroeville Ward 5 Dist 3,1005,Presidential Electors,762,227,215,11,218,69,1,7,1,0,4,2,0,3,1,0
Monroeville Ward 5 Dist 4,653,Presidential Electors,433,183,97,6,116,27,3,0,0,0,0,0,0,0,1,0
Monroeville Ward 6 Dist 1,835,Presidential Electors,671,215,138,5,245,53,2,3,0,0,2,1,0,4,0,0
Monroeville Ward 6 Dist 2,879,Presidential Electors,668,220,163,6,199,70,2,0,2,0,2,0,0,2,0,0
Monroeville Ward 6 Dist 3,1087,Presidential Electors,676,284,143,18,185,31,6,3,0,0,3,1,0,0,1,1
Monroeville Ward 6 Dist 4,377,Presidential Electors,250,88,86,6,44,20,1,0,1,0,0,1,0,0,2,0
Monroeville Ward 7 Dist 1,1561,Presidential Electors,1278,455,342,13,336,98,3,5,2,1,8,1,0,5,4,1
Monroeville Ward 7 Dist 2,840,Presidential Electors,667,294,139,9,168,52,0,2,0,0,1,1,0,1,0,0
Monroeville Ward 7 Dist 3,705,Presidential Electors,550,186,140,8,177,29,2,0,0,0,3,1,0,3,0,0
Moon Dist 1,892,Presidential Electors,528,155,83,4,222,52,2,4,0,0,2,0,0,3,0,0
Moon Dist 2,1045,Presidential Electors,864,233,195,2,321,96,7,0,0,0,4,3,0,3,0,0
Moon Dist 3,1173,Presidential Electors,847,268,173,6,313,64,7,1,0,0,6,1,0,3,4,0
Moon Dist 4,1206,Presidential Electors,1037,233,254,5,411,120,2,3,1,0,3,0,0,1,4,0
Moon Dist 5,1664,Presidential Electors,1393,314,321,5,563,160,6,7,1,0,7,1,0,2,3,0
Moon Dist 6,1748,Presidential Electors,1400,345,273,10,555,190,6,4,2,2,2,0,0,5,2,0
Moon Dist 7,1239,Presidential Electors,897,247,200,12,338,81,7,6,0,0,3,0,0,3,0,0
Moon Dist 8,1314,Presidential Electors,1086,266,251,2,439,106,4,3,1,0,3,2,0,2,1,0
Moon Dist 9,1130,Presidential Electors,874,196,179,6,357,117,3,0,6,0,2,2,0,2,2,0
Moon Dist 10,1232,Presidential Electors,1030,253,241,5,396,117,5,1,2,0,1,2,0,1,4,0
Moon Dist 11,1179,Presidential Electors,963,176,203,2,412,146,7,2,2,0,2,2,0,1,6,0
Moon Dist 12,1117,Presidential Electors,945,291,187,5,351,95,4,2,0,0,2,1,0,1,1,0
Moon Dist 13,1303,Presidential Electors,1100,276,224,15,407,162,4,3,2,0,5,0,0,1,1,0
Moon Dist 14,810,Presidential Electors,549,135,149,6,195,58,1,1,1,0,0,0,0,1,0,0
Moon Dist 15,1058,Presidential Electors,848,266,172,8,310,71,5,1,0,0,3,4,0,3,3,0
Moon Dist 16,1193,Presidential Electors,1010,265,195,6,381,137,11,4,0,0,2,2,0,3,2,0
Mt Lebanon Ward 1 Dist 1,847,Presidential Electors,711,241,207,3,142,92,1,1,1,0,3,4,0,6,5,0
Mt Lebanon Ward 1 Dist 2,634,Presidential Electors,512,256,118,5,98,24,2,1,1,0,2,0,0,3,1,0
Mt Lebanon Ward 1 Dist 3,643,Presidential Electors,567,259,149,4,102,39,2,2,2,0,2,0,0,4,0,0
Mt Lebanon Ward 1 Dist 4,782,Presidential Electors,657,268,186,3,138,54,1,0,0,0,1,0,0,1,0,0
Mt Lebanon Ward 1 Dist 5,617,Presidential Electors,536,219,157,2,115,27,3,4,2,0,3,0,0,1,1,0
Mt Lebanon Ward 1 Dist 6,1061,Presidential Electors,886,325,264,9,154,111,2,2,2,0,5,4,0,4,1,0
Mt Lebanon Ward 1 Dist 7,774,Presidential Electors,622,271,164,6,126,39,2,4,2,0,3,1,0,1,0,0
Mt Lebanon Ward 2 Dist 1,998,Presidential Electors,856,333,246,5,159,96,1,2,0,0,4,1,0,3,4,0
Mt Lebanon Ward 2 Dist 2,645,Presidential Electors,524,215,136,3,109,55,1,0,0,0,1,0,0,2,0,0
Mt Lebanon Ward 2 Dist 3,697,Presidential Electors,567,246,191,0,83,37,1,0,1,0,1,1,0,2,0,0
Mt Lebanon Ward 2 Dist 4,559,Presidential Electors,458,177,140,2,96,36,0,3,0,0,2,1,0,0,0,0
Mt Lebanon Ward 2 Dist 5,594,Presidential Electors,499,199,126,7,122,37,2,3,0,0,1,1,0,0,0,0
Mt Lebanon Ward 2 Dist 6,600,Presidential Electors,519,201,105,0,154,49,0,3,0,0,2,1,0,2,1,0
Mt Lebanon Ward 2 Dist 7,671,Presidential Electors,568,243,133,1,141,36,2,3,1,0,1,1,0,3,1,0
Mt Lebanon Ward 2 Dist 8,957,Presidential Electors,791,209,300,7,143,116,2,3,2,1,0,0,0,4,0,0
Mt Lebanon Ward 3 Dist 1,686,Presidential Electors,572,216,149,2,113,74,1,1,1,1,1,3,0,6,3,0
Mt Lebanon Ward 3 Dist 2,911,Presidential Electors,782,357,166,4,191,43,5,7,1,0,2,1,0,2,2,0
Mt Lebanon Ward 3 Dist 3,702,Presidential Electors,598,219,164,4,146,51,2,2,1,0,1,0,0,3,0,0
Mt Lebanon Ward 3 Dist 4,719,Presidential Electors,566,212,143,6,140,51,1,2,0,0,0,1,0,4,1,0
Mt Lebanon Ward 3 Dist 5,745,Presidential Electors,647,267,157,4,137,66,3,0,1,0,3,1,0,1,5,0
Mt Lebanon Ward 3 Dist 6,471,Presidential Electors,409,170,114,3,99,19,0,0,0,0,1,2,0,0,1,0
Mt Lebanon Ward 3 Dist 7,886,Presidential Electors,746,226,222,2,174,103,1,5,0,0,3,3,0,2,1,0
Mt Lebanon Ward 3 Dist 8,322,Presidential Electors,278,103,57,2,87,23,2,0,0,0,0,0,0,1,1,0
Mt Lebanon Ward 4 Dist 1,800,Presidential Electors,629,266,166,5,138,42,1,3,0,0,0,4,0,3,1,0
Mt Lebanon Ward 4 Dist 2,912,Presidential Electors,740,324,173,4,186,39,2,1,1,0,0,2,0,5,2,0
Mt Lebanon Ward 4 Dist 3,668,Presidential Electors,533,237,132,3,114,37,3,0,2,0,0,0,0,3,0,0
Mt Lebanon Ward 4 Dist 4,678,Presidential Electors,583,232,143,0,148,50,0,1,2,0,2,1,0,2,0,0
Mt Lebanon Ward 4 Dist 5,646,Presidential Electors,558,258,117,3,139,29,1,0,0,0,1,2,0,2,2,0
Mt Lebanon Ward 4 Dist 6,702,Presidential Electors,592,266,138,0,142,36,0,1,0,0,5,0,0,1,1,0
Mt Lebanon Ward 4 Dist 7,938,Presidential Electors,795,284,273,4,143,82,0,2,0,0,1,2,0,0,2,0
Mt Lebanon Ward 5 Dist 1,600,Presidential Electors,515,182,147,5,134,42,0,0,1,0,0,0,0,0,2,0
Mt Lebanon Ward 5 Dist 2,449,Presidential Electors,315,110,85,3,79,30,1,0,2,0,3,0,0,0,1,0
Mt Lebanon Ward 5 Dist 3,606,Presidential Electors,499,196,141,4,108,38,1,4,2,0,1,0,0,1,2,0
Mt Lebanon Ward 5 Dist 4,635,Presidential Electors,539,230,136,1,126,36,2,1,0,0,2,0,0,3,1,0
Mt Lebanon Ward 5 Dist 5,642,Presidential Electors,558,227,151,2,108,53,2,1,2,0,2,1,0,3,2,0
Mt Lebanon Ward 5 Dist 6,473,Presidential Electors,407,179,105,1,82,27,2,1,2,0,0,1,0,4,1,0
Mt Lebanon Ward 5 Dist 7,842,Presidential Electors,710,276,219,4,147,49,1,2,1,0,4,1,0,3,1,0
Mt Lebanon Ward 5 Dist 8,955,Presidential Electors,739,305,231,6,142,35,5,2,4,1,2,0,0,5,1,0
Mt Oliver Dist 1,722,Presidential Electors,371,181,65,18,77,17,10,0,0,0,1,2,0,0,0,0
Mt Oliver Dist 2,782,Presidential Electors,440,214,84,11,91,27,3,4,0,0,2,0,0,0,1,0
Mt Oliver Dist 3,522,Presidential Electors,311,173,42,3,76,11,2,0,0,0,0,0,0,0,0,0
Mt Oliver Dist 4,307,Presidential Electors,197,79,37,4,63,8,2,0,1,0,0,0,0,2,0,0
Munhall Dist 1,472,Presidential Electors,295,98,69,6,101,17,1,2,1,0,0,0,0,0,0,0
Munhall Dist 2,520,Presidential Electors,327,159,73,8,61,16,2,3,1,0,1,1,0,1,0,0
Munhall Dist 3,523,Presidential Electors,324,207,44,8,54,4,1,2,3,0,0,0,0,0,1,0
Munhall Dist 4,414,Presidential Electors,272,138,63,6,46,14,3,0,0,0,0,0,0,0,1,0
Munhall Dist 5,759,Presidential Electors,588,232,98,7,196,38,4,4,2,0,3,0,0,0,0,0
Munhall Dist 6,724,Presidential Electors,595,209,113,3,226,38,3,0,0,0,0,0,0,2,0,0
Munhall Dist 7,1131,Presidential Electors,894,301,209,6,300,62,3,2,3,0,2,0,0,1,1,0
Munhall Dist 8,669,Presidential Electors,573,206,90,4,223,39,4,0,0,0,4,1,0,0,1,0
Munhall Dist 9,724,Presidential Electors,545,202,106,2,178,45,3,1,1,0,2,1,0,3,0,0
Munhall Dist 10,514,Presidential Electors,404,136,75,3,161,22,3,0,0,0,2,0,0,1,0,0
Munhall Dist 11,953,Presidential Electors,820,282,157,6,295,61,3,2,1,1,4,1,0,2,2,0
Munhall Dist 12,554,Presidential Electors,481,158,71,2,209,33,2,0,0,0,3,0,0,1,1,0
Neville Ward 1,263,Presidential Electors,192,59,19,0,94,15,0,1,1,0,1,1,0,0,0,0
Neville Ward 2,210,Presidential Electors,137,53,14,0,55,14,0,0,0,0,0,0,0,0,1,0
Neville Ward 3,261,Presidential Electors,218,77,40,4,83,11,0,1,1,0,0,0,0,0,0,0
N Braddock Ward 1 Dist 1,232,Presidential Electors,191,58,58,3,39,27,1,1,0,0,0,1,0,0,2,0
N Braddock Ward 1 Dist 2,479,Presidential Electors,338,156,51,5,93,30,1,2,0,0,0,0,0,0,0,0
N Braddock Ward 1 Dist 3,471,Presidential Electors,283,150,48,6,66,9,0,1,1,0,0,0,0,1,0,0
N Braddock Ward 2 Dist 1,444,Presidential Electors,235,134,36,5,49,7,0,2,1,0,0,0,0,0,0,0
N Braddock Ward 2 Dist 2,548,Presidential Electors,348,164,86,8,71,16,0,0,1,0,0,1,0,0,0,0
N Braddock Ward 3 Dist 1,419,Presidential Electors,218,144,50,7,9,4,1,2,0,0,0,0,0,0,0,0
N Braddock Ward 3 Dist 2,471,Presidential Electors,233,146,41,10,22,8,2,1,0,0,0,0,0,2,0,1
N Fayette Dist 1,2253,Presidential Electors,1885,320,407,5,831,293,8,3,1,0,3,2,1,4,0,0
N Fayette Dist 2,2567,Presidential Electors,1916,438,448,22,707,233,23,11,5,0,10,1,1,3,6,0
N Fayette Dist 3,2448,Presidential Electors,1914,411,442,17,745,256,17,4,4,0,7,1,0,4,6,0
N Fayette Dist 4,1242,Presidential Electors,892,146,178,17,421,102,17,4,2,0,1,1,0,2,0,0
N Fayette Dist 5,3294,Presidential Electors,2656,543,580,14,1097,374,12,2,4,0,6,6,0,9,4,0
N Versailles Ward 1 Dist 1,677,Presidential Electors,512,156,91,4,206,43,6,3,1,0,1,0,0,1,0,0
N Versailles Ward 1 Dist 2,646,Presidential Electors,525,180,78,1,232,27,3,0,1,0,3,0,0,0,0,0
N Versailles Ward 2 Dist 1,668,Presidential Electors,500,168,81,4,209,28,5,1,0,0,2,0,0,0,1,0
N Versailles Ward 2 Dist 2,206,Presidential Electors,148,47,44,2,44,10,0,0,0,0,0,0,0,1,0,0
N Versailles Ward 3 Dist 1,518,Presidential Electors,414,120,98,0,159,31,1,1,1,0,0,1,0,1,0,0
N Versailles Ward 3 Dist 2,617,Presidential Electors,460,108,121,8,176,39,2,2,0,0,2,0,0,1,0,1
N Versailles Ward 4 Dist 1,511,Presidential Electors,375,128,54,4,157,24,3,0,0,0,3,1,0,1,0,0
N Versailles Ward 4 Dist 2,418,Presidential Electors,321,108,41,1,131,36,1,0,0,0,1,0,0,0,1,0
N Versailles Ward 5 Dist 1,520,Presidential Electors,309,116,59,2,110,15,0,0,0,1,3,0,0,3,0,0
N Versailles Ward 5 Dist 2,370,Presidential Electors,213,71,47,3,74,14,3,0,0,0,0,0,0,0,0,0
N Versailles Ward 6 Dist 1,647,Presidential Electors,529,136,102,2,244,35,2,0,1,0,3,1,0,1,1,0
N Versailles Ward 6 Dist 2,549,Presidential Electors,457,111,91,2,204,39,3,0,1,0,0,2,0,2,0,0
N Versailles Ward 7,623,Presidential Electors,418,226,89,6,72,18,2,3,1,0,0,1,0,0,0,0
Oakdale Dist 1,615,Presidential Electors,506,183,66,1,222,28,2,2,0,0,2,0,0,0,0,0
Oakdale Dist 2,447,Presidential Electors,377,89,72,0,174,39,1,0,0,0,0,0,0,1,0,0
Oakmont Dist 1,869,Presidential Electors,749,284,161,4,218,65,2,1,0,0,2,1,0,5,1,0
Oakmont Dist 2,1079,Presidential Electors,899,266,253,3,258,104,2,1,1,0,1,3,0,3,2,0
Oakmont Dist 3,763,Presidential Electors,616,239,97,6,210,41,8,5,1,1,2,1,1,2,0,0
Oakmont Dist 4,874,Presidential Electors,736,276,143,3,222,69,2,4,1,0,7,0,0,6,0,0
Oakmont Dist 5,666,Presidential Electors,548,223,104,2,181,23,2,0,1,0,4,0,0,3,0,0
Oakmont Dist 6,1312,Presidential Electors,1092,326,299,3,323,125,3,3,1,0,2,2,0,0,4,0
O'Hara Ward 1 Dist 1,861,Presidential Electors,647,187,214,8,153,69,1,2,3,0,1,1,0,4,1,0
O'Hara Ward 1 Dist 2,651,Presidential Electors,540,189,125,2,167,41,6,2,1,0,2,1,0,0,0,0
O'Hara Ward 2 Dist 1,630,Presidential Electors,544,220,134,0,143,36,1,0,2,0,3,0,0,3,1,0
O'Hara Ward 2 Dist 2,940,Presidential Electors,784,238,220,0,218,88,0,2,3,0,0,2,0,4,3,0
O'Hara Ward 3 Dist 1,868,Presidential Electors,745,280,183,4,200,61,1,2,2,0,2,2,0,0,3,0
O'Hara Ward 3 Dist 2,553,Presidential Electors,466,141,79,0,204,34,0,1,0,0,1,1,0,1,0,0
O'Hara Ward 4 Dist 1,844,Presidential Electors,682,217,227,4,152,62,4,3,3,0,3,0,0,5,0,0
O'Hara Ward 4 Dist 2,620,Presidential Electors,543,212,184,3,97,36,0,1,1,0,1,2,0,4,0,0
O'Hara Ward 5 Dist 1,772,Presidential Electors,670,192,203,4,187,65,4,5,0,0,1,0,0,3,1,0
O'Hara Ward 5 Dist 2,919,Presidential Electors,780,284,241,4,162,66,2,6,1,0,4,3,0,3,0,0
Ohio Dist 1,1704,Presidential Electors,1466,387,365,7,530,149,8,1,1,0,6,1,0,6,2,0
Ohio Dist 2,1840,Presidential Electors,1619,371,463,5,544,211,2,4,0,0,6,1,0,1,6,0
Ohio Dist 3,2162,Presidential Electors,1789,552,452,4,549,192,5,7,1,0,3,5,0,11,0,1
Glen Osborne,478,Presidential Electors,399,155,82,0,116,32,0,1,0,0,5,1,0,4,0,0
Penn Hills Ward 1 Dist 1,707,Presidential Electors,479,245,178,10,30,6,2,3,1,0,0,0,0,1,2,0
Penn Hills Ward 1 Dist 2,736,Presidential Electors,524,276,180,11,34,15,1,0,1,0,3,0,0,0,1,0
Penn Hills Ward 1 Dist 3,479,Presidential Electors,301,175,96,9,11,4,0,2,0,0,0,0,0,3,0,0
Penn Hills Ward 1 Dist 4,338,Presidential Electors,203,108,69,4,17,2,1,1,0,0,1,0,0,0,0,0
Penn Hills Ward 1 Dist 5,192,Presidential Electors,118,73,39,4,1,0,0,1,0,0,0,0,0,0,0,0
Penn Hills Ward 2 Dist 1,695,Presidential Electors,473,232,152,4,44,20,0,0,5,2,2,4,0,4,1,0
Penn Hills Ward 2 Dist 2,768,Presidential Electors,484,277,141,9,34,12,2,3,1,0,1,0,0,3,0,0
Penn Hills Ward 2 Dist 3,898,Presidential Electors,628,355,170,11,68,18,1,1,2,0,0,0,0,1,0,0
Penn Hills Ward 2 Dist 4,591,Presidential Electors,479,236,163,3,48,14,0,7,0,0,0,0,0,7,1,0
Penn Hills Ward 3 Dist 1,768,Presidential Electors,601,220,178,5,124,57,4,1,0,0,3,0,0,3,3,0
Penn Hills Ward 3 Dist 2,499,Presidential Electors,392,202,102,5,51,22,1,4,0,0,1,0,0,3,0,0
Penn Hills Ward 3 Dist 3,634,Presidential Electors,470,204,183,6,50,20,0,0,4,0,0,0,0,2,0,0
Penn Hills Ward 3 Dist 4,824,Presidential Electors,589,248,199,4,89,37,0,3,3,1,1,1,0,1,1,0
Penn Hills Ward 3 Dist 5,448,Presidential Electors,299,159,65,12,37,21,1,1,0,0,2,0,0,0,0,0
Penn Hills Ward 3 Dist 6,470,Presidential Electors,328,151,72,4,81,17,0,0,0,0,1,0,0,0,0,0
Penn Hills Ward 4 Dist 1,565,Presidential Electors,438,209,129,1,65,24,1,1,2,0,2,2,0,0,0,0
Penn Hills Ward 4 Dist 2,721,Presidential Electors,545,250,146,4,95,31,1,6,0,0,4,1,0,4,0,0
Penn Hills Ward 4 Dist 3,751,Presidential Electors,571,223,157,6,134,37,5,4,0,2,0,0,0,1,1,0
Penn Hills Ward 4 Dist 4,638,Presidential Electors,479,207,140,14,80,27,3,1,1,0,0,1,0,2,1,0
Penn Hills Ward 4 Dist 5,640,Presidential Electors,474,202,136,10,97,21,3,0,1,0,2,0,0,1,1,0
Penn Hills Ward 5 Dist 1,703,Presidential Electors,502,225,118,15,96,35,4,1,1,0,3,1,0,1,0,0
Penn Hills Ward 5 Dist 2,614,Presidential Electors,426,193,103,6,89,28,2,2,0,0,0,0,0,2,0,0
Penn Hills Ward 5 Dist 3,684,Presidential Electors,539,222,133,15,128,34,0,3,0,0,1,0,0,1,0,0
Penn Hills Ward 5 Dist 4,613,Presidential Electors,501,169,144,7,120,50,2,0,1,0,5,0,0,0,0,0
Penn Hills Ward 5 Dist 5,542,Presidential Electors,436,196,121,4,87,19,2,2,0,0,1,0,0,1,2,0
Penn Hills Ward 5 Dist 6,739,Presidential Electors,562,216,142,13,135,45,2,3,1,0,3,0,0,1,1,0
Penn Hills Ward 6 Dist 1,562,Presidential Electors,413,161,74,6,128,30,1,0,0,0,5,2,0,4,1,0
Penn Hills Ward 6 Dist 2,670,Presidential Electors,500,262,106,4,89,30,2,0,0,0,2,0,0,1,1,0
Penn Hills Ward 6 Dist 3,521,Presidential Electors,405,202,100,3,71,24,0,1,0,0,2,1,0,1,0,0
Penn Hills Ward 6 Dist 4,579,Presidential Electors,380,207,104,1,52,12,1,1,0,0,1,0,0,1,0,0
Penn Hills Ward 6 Dist 5,608,Presidential Electors,442,212,122,10,66,26,0,3,0,0,0,0,0,1,1,0
Penn Hills Ward 6 Dist 6,549,Presidential Electors,420,177,103,4,91,35,0,4,0,0,2,2,0,2,0,0
Penn Hills Ward 7 Dist 1,648,Presidential Electors,496,261,139,3,76,16,0,1,0,0,0,0,0,0,0,0
Penn Hills Ward 7 Dist 2,683,Presidential Electors,486,132,133,6,145,55,6,1,4,0,2,0,0,0,0,0
Penn Hills Ward 7 Dist 3,896,Presidential Electors,674,291,185,8,131,51,1,0,1,0,2,1,0,1,1,0
Penn Hills Ward 7 Dist 4,609,Presidential Electors,480,136,133,4,158,33,0,3,3,0,2,1,0,1,1,0
Penn Hills Ward 7 Dist 5,741,Presidential Electors,584,245,135,4,136,46,0,5,2,0,2,3,0,4,0,0
Penn Hills Ward 7 Dist 6,715,Presidential Electors,533,250,130,8,117,22,1,0,1,0,2,0,0,1,0,0
Penn Hills Ward 7 Dist 7,722,Presidential Electors,517,142,131,10,172,48,5,3,0,0,2,1,0,2,0,0
Penn Hills Ward 8 Dist 1,637,Presidential Electors,519,163,131,5,150,64,2,0,1,0,0,0,0,1,0,0
Penn Hills Ward 8 Dist 2,579,Presidential Electors,483,183,78,3,175,30,5,1,1,0,2,1,0,1,1,0
Penn Hills Ward 8 Dist 3,546,Presidential Electors,452,152,95,3,155,44,1,0,0,0,0,0,0,2,0,0
Penn Hills Ward 8 Dist 4,613,Presidential Electors,515,153,146,3,158,45,4,2,0,0,3,0,0,0,1,0
Penn Hills Ward 8 Dist 5,953,Presidential Electors,751,224,208,12,209,77,6,2,1,0,4,1,0,1,3,0
