precinct_id,registered_voters,contest_name,total_votes_cast,Kamala D. Harris - Election Day,Kamala D. Harris - Absentee,Kamala D. Harris - Provisional,Donald J. Trump - Election Day,Donald J. Trump - Absentee,Donald J. Trump - Provisional,Jill Stein - Election Day,Jill Stein - Absentee,Jill Stein - Provisional,Chase Oliver - Election Day,Chase Oliver - Absentee,Chase Oliver - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Elizabeth Tp Ward 1 Dist 1,565,Presidential Electors,477,121,65,0,244,41,2,1,0,0,0,0,0,1,1,0
Elizabeth Tp Ward 1 Dist 2,969,Presidential Electors,825,172,110,4,446,77,4,1,0,0,1,1,0,4,1,0
Elizabeth Tp Ward 2,1353,Presidential Electors,1152,260,176,1,597,99,5,1,1,0,3,0,0,5,0,0
Elizabeth Tp Ward 3,1388,Presidential Electors,1199,223,181,3,646,124,2,5,1,0,5,0,0,3,2,0
Elizabeth Tp Ward 4 Dist 1,883,Presidential Electors,726,150,111,5,359,85,3,1,1,0,3,1,0,4,0,0
Elizabeth Tp Ward 4 Dist 2,435,Presidential Electors,385,75,56,1,200,44,2,0,0,0,0,0,0,4,1,0
Elizabeth Tp Ward 5 Dist 1,439,Presidential Electors,340,62,33,2,213,25,1,1,0,0,1,0,0,0,0,0
Elizabeth Tp Ward 5 Dist 2,790,Presidential Electors,627,148,91,5,319,54,3,0,0,0,2,0,0,2,0,0
Elizabeth Tp Ward 6 Dist 1,610,Presidential Electors,528,88,64,4,320,42,4,1,0,0,2,1,0,0,0,0
Elizabeth Tp Ward 6 Dist 2,751,Presidential Electors,620,104,77,2,369,62,3,0,0,0,1,0,0,1,0,0
Elizabeth Tp Ward 7,1231,Presidential Electors,1047,225,173,2,559,77,4,0,2,0,2,0,0,1,1,0
Emsworth Dist 1,795,Presidential Electors,634,214,115,2,237,49,1,4,1,0,0,0,1,8,0,0
Emsworth Dist 2,1006,Presidential Electors,778,272,137,4,277,70,3,2,2,0,3,0,0,5,0,0
Etna Ward 1,828,Presidential Electors,632,262,97,6,216,31,1,5,1,0,5,0,0,5,1,0
Etna Ward 2,688,Presidential Electors,488,160,95,8,171,41,2,4,2,0,3,1,0,0,1,0
Etna Ward 3,714,Presidential Electors,567,205,83,6,229,33,0,2,1,0,3,0,0,2,0,0
Fawn Dist 1,571,Presidential Electors,487,81,60,1,293,41,2,2,1,0,4,0,0,1,0,0
Fawn Dist 2,948,Presidential Electors,800,144,121,4,458,65,3,1,0,0,0,0,0,0,2,0
Findlay Dist 1,1800,Presidential Electors,1442,308,177,5,773,161,2,3,1,0,5,3,0,1,0,0
Findlay Dist 2,2053,Presidential Electors,1671,412,297,9,769,157,6,5,1,0,9,1,0,2,1,0
Findlay Dist 3,1293,Presidential Electors,1106,300,183,4,510,90,3,2,1,0,5,0,0,1,3,0
Forest Hills Dist 1,626,Presidential Electors,550,246,165,1,100,29,1,1,2,0,2,0,0,2,0,0
Forest Hills Dist 2,653,Presidential Electors,545,257,152,6,96,25,2,1,0,0,1,0,0,3,1,0
Forest Hills Dist 3,643,Presidential Electors,536,221,148,8,122,27,3,1,0,0,1,1,0,4,0,0
Forest Hills Dist 4,775,Presidential Electors,598,289,155,5,108,29,0,3,2,0,3,1,0,2,0,0
Forest Hills Dist 5,710,Presidential Electors,604,256,138,3,158,36,0,3,2,0,1,1,0,2,1,0
Forest Hills Dist 6,608,Presidential Electors,529,250,149,3,88,23,0,0,2,1,7,0,0,2,1,0
Forest Hills Dist 7,773,Presidential Electors,527,288,107,5,98,15,3,5,0,0,0,0,0,2,1,0
Forest Hills Dist 8,726,Presidential Electors,589,244,148,3,131,42,4,2,1,0,3,2,0,7,0,0
Forward Dist 1,374,Presidential Electors,315,42,21,0,212,37,0,2,0,0,0,0,0,0,1,0
Forward Dist 2,866,Presidential Electors,707,122,106,5,405,59,3,1,0,0,3,0,0,1,0,0
Forward Dist 3,395,Presidential Electors,324,58,42,1,193,25,1,1,0,0,2,0,0,0,0,0
Forward Dist 4,466,Presidential Electors,393,79,54,0,235,21,0,0,0,0,3,0,0,0,0,0
Fox Chapel Dist 1,852,Presidential Electors,717,271,185,5,160,84,4,1,1,0,1,1,0,1,1,0
Fox Chapel Dist 2,1020,Presidential Electors,837,289,225,4,209,90,1,5,1,0,4,2,0,3,2,0
