precinct_id,registered_voters,contest_name,total_votes_cast,Eugene DePasquale - Election Day,Eugene DePasquale - Absentee,Eugene DePasquale - Provisional,Dave Sunday - Election Day,Dave Sunday - Absentee,Dave Sunday - Provisional,Robert Cowburn - Election Day,Robert Cowburn - Absentee,Robert Cowburn - Provisional,Richard L. Weiss - Election Day,Richard L. Weiss - Absentee,Richard L. Weiss - Provisional,Justin L. Magill - Election Day,Justin L. Magill - Absentee,Justin L. Magill - Provisional,Eric L. Settle - Election Day,Eric L. Settle - Absentee,Eric L. Settle - Provisional,Write-in - Election Day,Write-in - Absentee,Write-in - Provisional
Monroeville Ward 3 Dist 2,650,Attorney General,537,149,96,2,221,38,4,4,2,0,4,1,0,3,1,0,1,0,0,0,0,0
Monroeville Ward 3 Dist 3,989,Attorney General,817,244,195,3,273,62,1,7,0,0,14,1,0,3,0,0,2,2,0,1,0,0
Monroeville Ward 3 Dist 4,448,Attorney General,383,116,76,0,118,42,0,4,1,1,1,1,0,4,0,0,2,0,0,1,0,0
Monroeville Ward 4 Dist 1,676,Attorney General,570,170,109,1,199,52,0,7,2,0,5,2,1,5,0,0,0,0,0,1,0,0
Monroeville Ward 4 Dist 2,1058,Attorney General,845,271,175,9,272,76,1,8,0,1,7,2,0,3,1,0,2,1,0,1,0,0
Monroeville Ward 4 Dist 3,1006,Attorney General,847,276,144,6,301,64,2,9,2,1,11,1,0,4,1,0,0,2,0,1,0,0
Monroeville Ward 5 Dist 1,613,Attorney General,510,146,88,1,201,42,0,10,0,0,2,3,1,4,2,0,0,0,0,0,0,0
Monroeville Ward 5 Dist 2,891,Attorney General,568,201,172,5,122,32,1,4,0,0,7,3,0,1,0,0,1,1,0,1,0,0
Monroeville Ward 5 Dist 3,1005,Attorney General,762,223,203,9,207,78,1,2,1,0,10,0,1,4,2,0,2,0,0,0,0,0
Monroeville Ward 5 Dist 4,653,Attorney General,433,172,90,4,115,26,3,4,1,0,3,3,1,0,4,0,0,0,0,1,0,0
Monroeville Ward 6 Dist 1,835,Attorney General,671,213,137,4,229,47,2,5,3,0,5,3,0,3,1,0,1,0,0,2,0,0
Monroeville Ward 6 Dist 2,879,Attorney General,668,209,160,5,182,63,3,8,2,0,5,0,0,5,0,0,1,2,0,1,0,0
Monroeville Ward 6 Dist 3,1087,Attorney General,676,271,137,16,173,34,3,6,1,0,9,0,1,1,0,0,0,0,0,0,0,0
Monroeville Ward 6 Dist 4,377,Attorney General,250,82,82,5,38,22,0,4,1,1,4,2,0,0,1,0,0,0,0,0,0,0
Monroeville Ward 7 Dist 1,1561,Attorney General,1278,438,324,13,324,98,5,17,5,0,7,5,0,6,2,0,0,0,0,1,2,0
Monroeville Ward 7 Dist 2,840,Attorney General,667,290,138,8,151,46,0,6,2,0,7,0,0,1,0,0,0,1,0,1,0,0
Monroeville Ward 7 Dist 3,705,Attorney General,550,181,131,7,173,34,2,5,0,1,1,0,0,2,0,0,1,0,0,0,0,0
Moon Dist 1,892,Attorney General,528,147,80,4,219,50,1,6,0,0,3,0,0,2,1,1,0,0,0,1,0,0
Moon Dist 2,1045,Attorney General,864,226,191,2,311,89,6,9,4,0,3,2,0,1,0,1,1,0,0,1,0,0
Moon Dist 3,1173,Attorney General,847,267,164,7,295,63,5,9,1,0,6,0,0,1,0,0,1,1,0,1,0,0
Moon Dist 4,1206,Attorney General,1037,238,241,5,381,123,2,15,2,0,7,2,0,2,0,0,1,1,0,0,0,0
Moon Dist 5,1664,Attorney General,1393,304,286,8,549,176,3,10,3,0,10,5,0,4,1,0,2,3,0,0,0,0
Moon Dist 6,1748,Attorney General,1400,312,260,6,561,189,8,8,2,2,6,2,2,1,1,0,0,1,0,0,1,0
Moon Dist 7,1239,Attorney General,897,243,194,8,320,75,10,9,3,0,13,0,0,0,0,0,0,0,0,1,0,0
Moon Dist 8,1314,Attorney General,1086,261,249,3,421,101,3,7,0,0,9,2,0,2,0,0,1,0,0,0,0,0
Moon Dist 9,1130,Attorney General,874,182,173,4,345,116,3,11,3,0,5,5,0,3,2,1,1,1,0,1,0,0
Moon Dist 10,1232,Attorney General,1030,239,230,5,385,125,3,9,5,1,5,2,0,3,0,0,2,1,0,0,0,0
Moon Dist 11,1179,Attorney General,963,163,194,3,405,154,5,5,2,0,2,4,0,3,0,1,0,0,0,0,0,0
Moon Dist 12,1117,Attorney General,945,280,166,6,345,105,3,10,0,0,0,2,0,1,1,0,2,1,0,0,0,0
Moon Dist 13,1303,Attorney General,1100,252,215,15,403,161,4,13,0,0,5,0,0,4,2,0,1,1,0,0,1,0
Moon Dist 14,810,Attorney General,549,127,138,5,185,55,2,5,3,0,3,4,0,2,0,0,1,2,0,0,0,0
Moon Dist 15,1058,Attorney General,848,258,163,8,289,77,4,9,1,0,6,2,0,2,2,0,3,0,0,1,0,0
Moon Dist 16,1193,Attorney General,1010,247,177,6,382,147,11,11,2,0,1,0,0,0,0,0,1,0,0,0,0,0
Mt Lebanon Ward 1 Dist 1,847,Attorney General,711,208,185,4,170,111,0,6,4,0,1,1,0,1,0,0,2,1,0,0,0,0
Mt Lebanon Ward 1 Dist 2,634,Attorney General,512,247,111,4,93,22,1,6,0,0,7,1,0,1,0,0,0,0,0,0,0,0
Mt Lebanon Ward 1 Dist 3,643,Attorney General,567,236,135,4,109,43,2,8,1,0,5,4,0,1,0,0,1,1,0,1,0,0
Mt Lebanon Ward 1 Dist 4,782,Attorney General,657,257,170,4,141,61,1,3,1,0,2,2,0,1,0,0,1,0,0,0,0,0
Mt Lebanon Ward 1 Dist 5,617,Attorney General,536,204,135,2,128,42,2,4,0,0,1,3,0,1,0,0,0,0,0,0,0,0
Mt Lebanon Ward 1 Dist 6,1061,Attorney General,886,303,254,10,177,107,1,1,1,0,3,4,0,3,1,0,2,0,0,0,0,0
Mt Lebanon Ward 1 Dist 7,774,Attorney General,622,263,157,5,118,41,2,11,2,0,7,3,1,1,0,0,0,0,0,0,0,0
Mt Lebanon Ward 2 Dist 1,998,Attorney General,856,311,235,5,173,102,0,4,2,0,2,1,0,1,0,0,3,0,0,0,0,0
Mt Lebanon Ward 2 Dist 2,645,Attorney General,524,198,131,3,116,51,1,4,0,0,3,1,0,2,0,0,2,0,0,1,0,0
Mt Lebanon Ward 2 Dist 3,697,Attorney General,567,223,173,0,101,42,1,4,0,0,2,3,0,2,0,0,0,2,0,0,0,0
Mt Lebanon Ward 2 Dist 4,559,Attorney General,458,165,133,2,106,35,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0
Mt Lebanon Ward 2 Dist 5,594,Attorney General,499,183,115,8,126,39,1,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0
